id;marital_status;max_age;min_age;show_my_photo
9c15b678-259e-49af-a1e8-238d47394251;WIDOW;41;81;false
6a191c6d-d53c-433c-bfa6-6beccd729d74;WIDOW;46;23;true
972d98ea-ea0f-4355-91e4-7e8e046b1817;WIDOW;19;97;true
0c5883cd-3416-4986-b1e4-9a816c9f054d;DIVORCED_NOT_THROUGH_COURT;67;96;true
438696f5-0c9e-47d7-b02f-f576a977c341;DIVORCED_THROUGH_COURT;63;54;true
4408e008-eea3-4abe-b541-5cd0fbbb5d4a;DIVORCED_THROUGH_COURT;19;65;false
2f720f83-8a80-402d-9cf6-0427d61de27a;DIVORCED_THROUGH_COURT;30;89;false
8be74e9d-1202-4579-89ee-0fb8868af0cd;DIVORCED_NOT_THROUGH_COURT;49;63;false
d649594a-a9e9-4935-ad65-0fd732c0806f;DIVORCED_NOT_THROUGH_COURT;27;96;true
18aecb3b-3d81-4c2c-bd9c-3e8e9ab23e88;DIVORCED_NOT_THROUGH_COURT;23;23;true
